LEA,leaf
LEG,lettuce green
LEK,leek
LEM,lemon
LGB,light worn in blue
LGN,light green
LGY,light gray
LHG,light heather gray
LIC,lavendar ice
LIH,lavendar ice heather
LIL,lilac
LIN,linen
LKB,lake blue
LKH,light khaki
LLC,lilac cameo
LLE ,light leaf
LLG,lilac gray
LLM,light lime
LMD,lemonade
LME,lime
LMN,brite lime/navy
LMO,light moss
LMS,limestone
LNY,light navy
LOC,light olive camo
LOM,light orchid multi
LOV,light olive  
LPH,light periwinkle heather
LPK,light pink
LPS,lapis
LPW,light periwinkle  
LRK,lark
LRN,light raisin
LRT,light retro
LSE,light sienna
LSH,lake shore
LSI,lt. sistine
LSU,light sun
LTA,light aqua
LTB,light blue
LTC,light chambray
LTD,light denim
LTG,light gray heather
LTK,light khaki
LTO ,light orange
LTT,light turquoise
LVB,light vintage blue
LVF,lavender fog
LVH,lavender heather
LVN,light vintage  
LWB,light weathered blue
M11,opaline green
M17,spearmint
M20,foam green
MAC,medium authentic
MAG,magenta
MAL,malachite
MAR,maroon
MAZ,maize
MBL ,medium blue
MBR,medium brown
MBY,mulberry
MCH,mocha
MDG,medium gray
MDO,midnight indigo
MDS,midstone
MDT,midnight  
MDU,medium used
MDW,medium worn in
MER,metro red
MEW,medium worn  
MGO,mango
MHB,mahogany/blue green
MHC,mahogany chambray
MHG,medium heather gray
MHR,mulberry heather
MHY,mahogany  
MIB,mid blue
MIL,military
MIO,medium indigo
MKG,musk green
MLD,mallard blue
MLH,melon heather
MLL,mallard  
MLM,moonlite mauve
MLN,melon  
MLS,multi stripe
MLT,multi  
MNB,mineral blue
MNG,mineral green
MNT,midnight teal
MOB,mossy ok break-up
MOR,medium orange
MOS,moss  
MOT,mossy oak treestand
MRB,marine blue
MRD,mars red
MRH,marsh  
MRN,marine  
MRS,morning rose
MSC,moss chambray
MSR,morning rose heather
MSS,moss  
MSW,medium stone wash
MTD,mustard
MTG,mintgreen
MTL,metal heather
MTL,metal 
MUD,mud
MUL,multi
MUS,mushroom
MUY,muted yellow
MYH,mahogany heather
N03,dark wash
N12,estate blue
N19,peacoat
N20,insignia blue
N28,vintage wash
N34,antique wash
N35,True blue
N58,chambray
N59,vintage wash
N70,medium wash
N73,CH blue print
NAT,natural
NBH,navy blue heather
NBK,nubuck
NBL,night blue
NHT,night  
NID,new indigo
NKL,nickel plate
NOW,night owl blue
NPG,neptune green
NSD,nightshade
NTC,natural chambray
NVH,navy heather
NVP,navy plaid
NVY,navy
OAK,oak
OBM,orange blossom
OCB,orange camo break-up
OCE,ocean
OCP,orchid plaid
OFV,old favorite
OGH,olive green heather
OHR,ochre
OID,olive drab
OLH,oatmeal heather
OLI,olive
OLV,olive
OME,opera mauve
ONB,ocean blue
ONT,ocean teal
ONX,onyx
OPL,orange peel
OR3,orange 3
ORD,orchid  
ORG,orange  
ORN,brite orange/navy
OTH,ocean teal heather
OTL,oatmeal
OVH,olive heather
P06,rose shadow
P09,carmine rose
P23,pale peony
P30,powder pink
P34,peony
P38,orchid smoke
P41,honeysuckle
P46,confetti
P59,camellia rose
P66,pink zinnia
P67,pink lady
P71,sweet lilac
P72,super pink
P85,orchid smoke
P92,almond blossom
PAB,pacific blue
PAH,platinum heather
PAL,petal
PAM,palm
PAR,pear
PAS,pinkalicious
PBA,petunia bandana
PBH ,persian blue heather
PBL,patriot blue
PBR,parcel brown
PBU,pale blue
PBX,pocket boxes
PCB,pacific blue
PCH,peach
PDB,powder blue
PDT,prairie dust
PEA,pearl
PEH,peach heather
PER,pear 
PEW,pewter
PGL,purple/gold
PGN,pine green
PKH,pink heather
PKK,pale khaki
PKR,pink rose
PKT,pink thistle
PLC,pink lilac
PLH,pink lilac heather
PLM,plum
PLP,petal pink
PLT,pink/white multi
PMK,pumpkin
PMT,parchment
PNB,persian blue
PNE,pine 
PNK,pink
PNY,peony
POB,pool blue
POH,pistachio heather
PPO,poppy orange
PPR,patrician purple
PRL,purple
PRT,port
PRW,prewash
PSH,pecan shell
PSO,pistachio  
PTA,petunia
PTB,petrol blue
PTH,port heather
PTL,petrol  
PTN,prairie tan
PTP,parktown plaid
PTR,pewter
PTY,putty
PWK,periwinkle
PX0,royal blue
PYW,pale yellow
Q32,royal blue
QOR,queen's orange
R16,tango red
R21,arizona red
R23,mineral red
R29,chili pepper
R30,claret
RAS,raspberry
RAT,rattan
